from,to 
TH,dAdFK
TH,VVfB
TK,VVfB
OS,KCddFL
OS,VVfB
CV,FCFP
CV,IGH
CV,ARVfB
WP,MBB
WP,DAG
WP,HMSS
WP,ARVfB
WP,SWM
RA,EH
RA,ARVfB
HJ,AKS
HJ,AKF
HJ,ARVfB
FR,DMAG
FR,ARVfB
BS,RBG
BS,FCG
BS,ARVfB
